id,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,dti,fico_range_low,fico_range_high,total_pymnt,total_rec_prncp,recoveries
1000794,35000,35000, 60 months,10.08%,745.03,B,B5,7 years,RENT,94318.0,Source Verified,Sep-2017,Current,moving,NJ,20.23,705,709,17410.07,13631.5,0.0
1000795,35000,35000, 36 months,19.98%,1300.37,D,D4,7 years,OWN,67311.0,Source Verified,May-2018,Default,major_purchase,NC,7.78,690,694,5555.89,4444.72,3096.14
1000796,25000,25000, 60 months,9.22%,521.63,A,A5,5 years,RENT,102151.0,Verified,Sep-2016,Fully Paid,moving,NC,22.28,675,679,29898.5,25000.0,0.0
1000797,35000,35000, 36 months,16.76%,1243.67,C,C2,5 years,RENT,94556.0,Source Verified,Nov-2018,Fully Paid,small_business,FL,16.81,760,764,42671.47,35000.0,0.0
1000798,25000,25000, 60 months,19.66%,657.63,D,D3,1 year,RENT,53693.0,Not Verified,Nov-2017,Charged Off,credit_card,MA,20.73,740,744,8116.92,6493.54,283.71
1000799,5000,5000, 60 months,10.12%,106.53,B,B1,3 years,MORTGAGE,100642.0,Source Verified,Apr-2017,Fully Paid,medical,NJ,24.59,740,744,6384.1,5000.0,0.0
1000800,10000,10000, 36 months,19.9%,371.13,D,D5,3 years,MORTGAGE,110352.0,Source Verified,Oct-2018,Fully Paid,credit_card,NJ,9.21,660,664,12794.73,10000.0,0.0
1000801,25000,25000, 36 months,17.83%,901.68,D,D4,2 years,MORTGAGE,48171.0,Verified,Apr-2018,Fully Paid,vacation,TX,10.44,720,724,31740.93,25000.0,0.0
1000802,25000,25000, 60 months,9.74%,527.98,B,B5,10+ years,MORTGAGE,123400.0,Not Verified,Oct-2018,Charged Off,vacation,CO,7.67,660,664,12162.46,9729.97,167.91
1000803,30000,30000, 60 months,29.82%,967.29,G,G4,2 years,MORTGAGE,67611.0,Not Verified,Oct-2016,Current,vacation,NJ,27.84,760,764,21016.66,10863.68,0.0
1000804,8000,8000, 36 months,31.7%,347.1,G,G5,n/a,RENT,78301.0,Not Verified,Jun-2018,Current,home_improvement,WA,10.69,705,709,4838.33,3097.62,0.0
1000805,10000,10000, 60 months,24.92%,293.04,F,F1,5 years,RENT,125908.0,Not Verified,Dec-2017,Fully Paid,home_improvement,FL,13.23,660,664,17406.75,10000.0,0.0
1000806,8000,8000, 60 months,10.18%,170.69,B,B3,2 years,RENT,87641.0,Not Verified,Feb-2016,Fully Paid,small_business,NY,4.33,675,679,10162.63,8000.0,0.0
1000807,20000,20000, 60 months,27.55%,617.3,F,F3,< 1 year,RENT,28522.0,Not Verified,Aug-2018,Fully Paid,car,TX,33.65,705,709,35702.8,20000.0,0.0
1000808,12000,12000, 60 months,22.73%,336.43,E,E4,7 years,MORTGAGE,35184.0,Source Verified,May-2018,Charged Off,house,NJ,15.96,690,694,5315.2,4252.16,614.19
1000809,15000,15000, 60 months,20.27%,399.67,D,D5,2 years,OWN,77577.0,Source Verified,May-2018,Current,credit_card,CO,17.79,760,764,11973.37,7489.54,0.0
1000810,25000,25000, 60 months,10.1%,532.41,B,B4,5 years,OWN,57119.0,Verified,May-2018,Charged Off,home_improvement,CA,30.27,760,764,3025.83,2420.66,1011.87
1000811,20000,20000, 36 months,14.06%,684.14,C,C3,3 years,OWN,77772.0,Not Verified,Jun-2016,Current,house,NY,22.31,740,744,5963.82,4842.92,0.0
1000812,5000,5000, 36 months,26.97%,204.05,F,F5,< 1 year,RENT,88983.0,Not Verified,Sep-2018,Current,moving,IL,9.14,780,784,3407.84,2319.59,0.0
1000813,35000,35000, 36 months,32.55%,1535.11,G,G3,1 year,OWN,103767.0,Not Verified,May-2018,Fully Paid,car,AZ,4.47,720,724,52681.14,35000.0,0.0
1000814,15000,15000, 36 months,16.53%,531.29,C,C4,10+ years,RENT,84915.0,Not Verified,Dec-2016,Fully Paid,car,AZ,21.45,760,764,18595.52,15000.0,0.0
1000815,10000,10000, 36 months,11.38%,329.19,B,B1,2 years,RENT,15000.0,Source Verified,Jul-2017,Charged Off,credit_card,NJ,13.56,740,744,4569.3,3655.44,997.31
1000816,8000,8000, 36 months,10.69%,260.74,B,B4,2 years,RENT,106069.0,Not Verified,Sep-2017,Fully Paid,debt_consolidation,NC,33.02,675,679,9078.88,8000.0,0.0
1000817,5000,5000, 36 months,11.04%,163.79,B,B3,5 years,MORTGAGE,94385.0,Verified,Sep-2017,Fully Paid,debt_consolidation,PA,29.05,720,724,5677.86,5000.0,0.0
1000818,15000,15000, 36 months,11.06%,491.51,B,B5,10+ years,RENT,117333.0,Source Verified,Sep-2018,Charged Off,debt_consolidation,VA,15.1,720,724,7408.95,5927.16,1280.45
1000819,35000,35000, 36 months,16.95%,1246.97,C,C4,3 years,RENT,189485.0,Source Verified,Mar-2018,Charged Off,moving,FL,20.18,720,724,4531.02,3624.81,705.43
1000820,5000,5000, 36 months,11.48%,164.83,B,B5,n/a,RENT,51606.0,Not Verified,Mar-2018,Fully Paid,moving,PA,5.36,740,744,5910.25,5000.0,0.0
1000821,10000,10000, 60 months,19.85%,264.1,D,D2,3 years,OWN,124271.0,Source Verified,Nov-2016,Charged Off,moving,MA,2.6,660,664,5201.26,4161.0,70.31
1000822,30000,30000, 60 months,7.27%,597.86,A,A4,< 1 year,RENT,97427.0,Source Verified,Nov-2016,Current,medical,GA,6.11,720,724,5415.56,4529.12,0.0
1000823,5000,5000, 60 months,21.65%,137.1,E,E4,5 years,RENT,38299.0,Verified,Feb-2017,Current,moving,TX,27.28,675,679,3947.28,2399.27,0.0
1000824,25000,25000, 36 months,10.97%,818.11,B,B4,5 years,MORTGAGE,92528.0,Verified,Dec-2018,Current,house,VA,4.26,720,724,5099.94,4329.03,0.0
1000825,20000,20000, 60 months,22.68%,560.14,E,E3,5 years,RENT,91883.0,Not Verified,May-2018,In Grace Period,car,VA,33.42,660,664,12657.65,7532.43,0.0
1000826,25000,25000, 60 months,12.18%,558.39,B,B5,< 1 year,OWN,114115.0,Source Verified,Sep-2016,Fully Paid,debt_consolidation,CA,19.88,705,709,32234.93,25000.0,0.0
1000827,35000,35000, 60 months,19.35%,914.67,D,D4,1 year,OWN,58662.0,Not Verified,Nov-2018,Current,credit_card,CA,21.43,780,784,15922.58,10154.67,0.0
1000828,25000,25000, 36 months,22.43%,960.33,E,E4,7 years,MORTGAGE,86992.0,Verified,Jan-2018,Fully Paid,debt_consolidation,FL,18.9,705,709,33048.69,25000.0,0.0
1000829,35000,35000, 60 months,13.47%,804.8,C,C2,5 years,OWN,88810.0,Not Verified,Feb-2016,Fully Paid,car,PA,8.44,720,724,47620.65,35000.0,0.0
1000830,10000,10000, 60 months,6.54%,195.85,A,A5,3 years,MORTGAGE,66617.0,Source Verified,Mar-2017,Current,debt_consolidation,GA,9.43,660,664,2679.72,2280.42,0.0
1000831,5000,5000, 36 months,16.69%,177.49,C,C5,1 year,MORTGAGE,102925.0,Not Verified,Feb-2018,Fully Paid,moving,MI,7.09,760,764,6167.04,5000.0,0.0
1000832,8000,8000, 36 months,9.03%,254.51,A,A2,1 year,RENT,51197.0,Source Verified,Sep-2016,Fully Paid,house,OH,19.12,720,724,9052.55,8000.0,0.0
1000833,5000,5000, 36 months,22.47%,192.17,E,E3,5 years,OWN,44700.0,Not Verified,Feb-2016,Current,vacation,CA,26.97,690,694,1190.86,860.68,0.0
1000834,30000,30000, 60 months,27.54%,925.77,F,F1,5 years,RENT,51917.0,Not Verified,Mar-2018,Fully Paid,moving,MA,2.64,760,764,54842.43,30000.0,0.0
1000835,25000,25000, 36 months,14.47%,860.16,C,C5,< 1 year,MORTGAGE,49717.0,Source Verified,Mar-2017,Default,moving,MA,30.88,705,709,13990.28,11192.22,939.01
1000836,15000,15000, 36 months,11.31%,493.29,B,B4,3 years,OWN,86768.0,Source Verified,Feb-2016,Fully Paid,credit_card,OH,6.97,690,694,17529.79,15000.0,0.0
1000837,35000,35000, 60 months,7.05%,693.87,A,A3,< 1 year,MORTGAGE,87968.0,Source Verified,Jul-2016,Fully Paid,debt_consolidation,VA,2.07,760,764,39579.68,35000.0,0.0
1000838,10000,10000, 36 months,22.94%,386.78,E,E2,< 1 year,MORTGAGE,56027.0,Not Verified,Oct-2017,Charged Off,major_purchase,TX,21.54,690,694,4067.97,3254.38,228.44
1000839,15000,15000, 60 months,19.12%,390.1,D,D5,1 year,RENT,79076.0,Verified,May-2018,Current,debt_consolidation,AZ,2.98,675,679,4558.18,2921.16,0.0
1000840,30000,30000, 36 months,12.25%,1000.02,B,B1,< 1 year,MORTGAGE,94894.0,Not Verified,May-2018,Fully Paid,other,CO,21.0,780,784,34870.3,30000.0,0.0
1000841,30000,30000, 36 months,5.57%,906.82,A,A1,10+ years,RENT,110754.0,Not Verified,Jan-2018,Fully Paid,small_business,OH,11.96,760,764,31497.03,30000.0,0.0
1000842,10000,10000, 36 months,23.18%,388.04,E,E5,10+ years,OWN,76016.0,Not Verified,Jun-2018,Charged Off,credit_card,VA,17.12,690,694,5559.94,4447.95,109.64
1000843,15000,15000, 60 months,18.9%,388.28,D,D1,1 year,RENT,55388.0,Verified,Jan-2017,Charged Off,house,TX,34.13,705,709,1651.94,1321.55,1263.36
1000844,35000,35000, 36 months,15.49%,1221.7,C,C2,7 years,MORTGAGE,68012.0,Source Verified,May-2017,Current,house,MA,6.92,740,744,10278.82,8179.83,0.0
1000845,10000,10000, 36 months,5.24%,300.79,A,A2,10+ years,OWN,48725.0,Not Verified,Aug-2017,Fully Paid,car,NC,15.69,660,664,10514.91,10000.0,0.0
1000846,8000,8000, 36 months,14.46%,275.21,C,C5,7 years,MORTGAGE,87336.0,Source Verified,Aug-2017,Fully Paid,debt_consolidation,NJ,7.46,780,784,9487.14,8000.0,0.0
1000847,35000,35000, 36 months,6.28%,1069.21,A,A5,3 years,OWN,108905.0,Verified,Jan-2017,Fully Paid,credit_card,VA,11.19,780,784,38309.91,35000.0,0.0
1000848,5000,5000, 60 months,6.84%,98.63,A,A4,7 years,OWN,20585.0,Source Verified,Oct-2017,Charged Off,small_business,VA,9.85,660,664,2136.42,1709.14,268.16
1000849,12000,12000, 36 months,8.05%,376.31,A,A4,3 years,OWN,22018.0,Verified,Jan-2016,Charged Off,vacation,PA,9.97,780,784,5015.52,4012.41,948.5
1000850,20000,20000, 60 months,13.33%,458.45,B,B3,< 1 year,MORTGAGE,91618.0,Verified,Dec-2016,Fully Paid,credit_card,WA,11.52,690,694,26285.83,20000.0,0.0
1000851,35000,35000, 36 months,6.54%,1073.35,A,A1,7 years,RENT,96385.0,Verified,Jan-2017,Fully Paid,major_purchase,PA,5.54,720,724,38633.12,35000.0,0.0
1000852,5000,5000, 60 months,11.22%,109.26,B,B2,3 years,RENT,37360.0,Verified,Oct-2017,Current,debt_consolidation,IL,30.25,690,694,1950.71,1487.82,0.0
1000853,15000,15000, 36 months,23.3%,582.99,E,E1,10+ years,OWN,58745.0,Verified,Sep-2016,Current,car,PA,17.19,660,664,7287.53,5208.44,0.0
1000854,15000,15000, 60 months,10.94%,325.69,B,B2,10+ years,OWN,51003.0,Verified,Nov-2016,Current,credit_card,NJ,26.96,705,709,3421.43,2626.3,0.0
1000855,25000,25000, 36 months,24.52%,987.66,E,E2,7 years,MORTGAGE,83567.0,Not Verified,Jan-2018,Fully Paid,small_business,OH,6.03,720,724,35337.85,25000.0,0.0
1000856,10000,10000, 36 months,28.71%,417.48,F,F5,2 years,MORTGAGE,101124.0,Verified,Jul-2017,Current,debt_consolidation,GA,27.19,690,694,3297.68,2194.17,0.0
1000857,25000,25000, 60 months,21.96%,689.9,E,E5,n/a,OWN,85899.0,Not Verified,Jun-2016,Fully Paid,credit_card,IL,30.07,660,664,40924.96,25000.0,0.0
1000858,5000,5000, 60 months,16.39%,122.63,C,C5,2 years,MORTGAGE,25239.0,Not Verified,Jun-2018,Charged Off,car,MI,20.18,720,724,2203.47,1762.78,117.18
1000859,20000,20000, 60 months,19.2%,521.01,D,D4,< 1 year,RENT,68393.0,Verified,Feb-2018,Fully Paid,major_purchase,MA,18.6,690,694,30450.14,20000.0,0.0
1000860,5000,5000, 36 months,21.01%,188.4,E,E4,2 years,MORTGAGE,88228.0,Source Verified,Jan-2018,Fully Paid,moving,TX,3.61,740,744,6567.43,5000.0,0.0
1000861,12000,12000, 60 months,6.49%,234.74,A,A1,3 years,OWN,26081.0,Verified,Nov-2017,Fully Paid,vacation,VA,11.07,780,784,13630.54,12000.0,0.0
1000862,8000,8000, 60 months,8.41%,163.79,B,B4,7 years,MORTGAGE,39290.0,Source Verified,Aug-2018,Fully Paid,debt_consolidation,IL,4.33,690,694,9475.46,8000.0,0.0
1000863,10000,10000, 36 months,11.51%,329.81,B,B3,5 years,OWN,124012.0,Not Verified,Jun-2016,Fully Paid,moving,TX,26.62,660,664,11428.14,10000.0,0.0
1000864,15000,15000, 36 months,18.7%,547.57,D,D2,< 1 year,OWN,89214.0,Verified,Dec-2017,Fully Paid,car,PA,34.67,740,744,19420.52,15000.0,0.0
1000865,5000,5000, 60 months,18.25%,127.65,D,D3,3 years,OWN,54848.0,Not Verified,Jun-2017,Current,home_improvement,GA,23.8,690,694,1257.29,820.79,0.0
1000866,8000,8000, 60 months,6.94%,158.18,A,A3,10+ years,OWN,53405.0,Not Verified,Feb-2018,Current,debt_consolidation,MI,12.01,660,664,3135.29,2642.81,0.0
1000867,30000,30000, 60 months,18.99%,778.05,D,D2,n/a,RENT,159933.0,Not Verified,Feb-2017,Fully Paid,house,MA,8.29,675,679,46329.77,30000.0,0.0
1000868,35000,35000, 60 months,18.1%,890.68,D,D4,3 years,MORTGAGE,106038.0,Not Verified,Sep-2017,Current,small_business,PA,24.37,660,664,6954.37,4554.63,0.0
1000869,35000,35000, 36 months,11.31%,1151.0,B,B5,5 years,OWN,101535.0,Verified,Sep-2016,Fully Paid,vacation,WA,27.38,760,764,40756.48,35000.0,0.0
1000870,12000,12000, 60 months,10.95%,260.61,B,B4,5 years,MORTGAGE,83028.0,Not Verified,Feb-2018,Current,debt_consolidation,NY,9.77,780,784,7089.96,5441.05,0.0
1000871,35000,35000, 60 months,29.03%,1111.6,F,F2,10+ years,RENT,89967.0,Source Verified,Feb-2018,Charged Off,credit_card,AZ,16.34,740,744,7198.45,5758.76,3423.15
1000872,35000,35000, 60 months,6.12%,678.6,A,A1,5 years,RENT,86321.0,Verified,May-2018,Charged Off,credit_card,IL,34.56,690,694,14403.99,11523.19,3230.55
1000873,12000,12000, 60 months,7.29%,239.26,A,A5,1 year,MORTGAGE,22918.0,Source Verified,Jan-2017,Fully Paid,major_purchase,OH,9.19,740,744,14253.07,12000.0,0.0
1000874,5000,5000, 36 months,11.96%,165.98,B,B5,< 1 year,RENT,131054.0,Source Verified,Dec-2017,Charged Off,small_business,AZ,17.41,780,784,1259.11,1007.29,337.59
1000875,15000,15000, 36 months,7.73%,468.18,A,A1,1 year,MORTGAGE,69073.0,Verified,Jul-2018,Charged Off,home_improvement,PA,18.9,690,694,5619.89,4495.91,669.9
1000876,20000,20000, 36 months,12.15%,665.72,B,B4,3 years,OWN,69413.0,Not Verified,Aug-2017,Charged Off,other,MA,22.55,780,784,10996.01,8796.81,218.54
1000877,30000,30000, 36 months,11.94%,995.57,B,B1,3 years,OWN,86142.0,Source Verified,Feb-2018,Fully Paid,house,MI,11.01,690,694,34523.42,30000.0,0.0
1000878,20000,20000, 36 months,16.25%,705.61,C,C5,n/a,MORTGAGE,66733.0,Not Verified,Jul-2017,Current,medical,AZ,3.75,690,694,9129.59,7188.1,0.0
1000879,5000,5000, 60 months,16.72%,123.51,C,C2,n/a,MORTGAGE,85154.0,Not Verified,Apr-2018,Fully Paid,home_improvement,FL,8.62,740,744,7121.93,5000.0,0.0
1000880,5000,5000, 36 months,10.99%,163.67,B,B1,5 years,OWN,42990.0,Not Verified,Nov-2016,Default,medical,TX,32.31,705,709,1182.35,945.88,497.4
1000881,25000,25000, 60 months,20.27%,666.11,D,D2,1 year,MORTGAGE,15000.0,Verified,Dec-2018,Fully Paid,credit_card,VA,28.49,690,694,39655.69,25000.0,0.0
1000882,25000,25000, 60 months,11.03%,543.93,B,B2,n/a,RENT,64366.0,Verified,Mar-2016,Fully Paid,other,MA,31.11,660,664,32423.82,25000.0,0.0
1000883,35000,35000, 36 months,10.02%,1129.68,B,B4,5 years,RENT,51286.0,Not Verified,Jan-2016,Fully Paid,home_improvement,VA,32.24,720,724,40030.25,35000.0,0.0
1000884,8000,8000, 60 months,21.14%,217.06,D,D4,3 years,OWN,87589.0,Source Verified,Jun-2016,Charged Off,home_improvement,MI,13.23,660,664,2434.07,1947.25,648.72
1000885,15000,15000, 36 months,23.77%,586.68,E,E2,2 years,MORTGAGE,86146.0,Verified,Jul-2016,Current,moving,AZ,23.78,690,694,4488.07,3187.48,0.0
1000886,5000,5000, 60 months,7.14%,99.34,A,A1,2 years,RENT,81261.0,Not Verified,Nov-2017,Fully Paid,debt_consolidation,PA,30.86,660,664,5685.49,5000.0,0.0
1000887,35000,35000, 36 months,9.92%,1128.04,B,B1,n/a,RENT,71409.0,Not Verified,Aug-2017,Fully Paid,debt_consolidation,NY,34.9,660,664,40075.73,35000.0,0.0
1000888,5000,5000, 36 months,17.39%,179.24,D,D2,3 years,RENT,90318.0,Verified,Apr-2017,Fully Paid,small_business,CA,26.04,690,694,6406.37,5000.0,0.0
1000889,25000,25000, 36 months,28.92%,1046.56,G,G3,3 years,RENT,58300.0,Not Verified,May-2016,Current,home_improvement,IL,15.2,675,679,16645.73,11045.27,0.0
1000890,12000,12000, 36 months,7.96%,375.81,A,A5,3 years,OWN,120082.0,Verified,Sep-2017,Current,moving,AZ,27.6,705,709,4193.55,3719.57,0.0
1000891,35000,35000, 36 months,27.61%,1440.36,F,F1,7 years,RENT,15267.0,Verified,Nov-2017,Fully Paid,small_business,VA,6.42,705,709,50228.9,35000.0,0.0
1000892,30000,30000, 60 months,8.02%,608.58,A,A2,7 years,RENT,83402.0,Verified,Jun-2017,Fully Paid,major_purchase,CO,13.43,660,664,34994.61,30000.0,0.0
1000893,15000,15000, 60 months,11.44%,329.44,B,B5,2 years,MORTGAGE,105404.0,Verified,Jul-2016,In Grace Period,house,VA,20.71,675,679,9101.88,6907.09,0.0
1000894,30000,30000, 36 months,31.42%,1296.99,G,G4,n/a,RENT,100991.0,Source Verified,Sep-2017,Fully Paid,debt_consolidation,MA,6.9,690,694,45539.78,30000.0,0.0
1000895,8000,8000, 36 months,11.67%,264.46,B,B2,5 years,RENT,81637.0,Not Verified,Aug-2016,Fully Paid,small_business,OH,4.32,720,724,9336.07,8000.0,0.0
1000896,25000,25000, 36 months,13.63%,849.95,C,C1,3 years,RENT,78415.0,Source Verified,Jul-2017,Fully Paid,major_purchase,NY,15.53,760,764,29994.16,25000.0,0.0
1000897,12000,12000, 60 months,10.2%,256.15,B,B5,2 years,MORTGAGE,133061.0,Source Verified,Oct-2017,Current,other,NY,32.01,780,784,2991.89,2336.04,0.0
1000898,25000,25000, 60 months,18.28%,638.65,C,C4,7 years,MORTGAGE,36290.0,Verified,Mar-2017,Current,major_purchase,NY,23.07,740,744,5842.96,3812.05,0.0
1000899,5000,5000, 36 months,28.02%,206.87,F,F2,7 years,RENT,88599.0,Source Verified,Jan-2018,Charged Off,other,CA,3.2,675,679,1214.81,971.85,35.79
1000900,20000,20000, 36 months,5.76%,606.27,A,A4,2 years,RENT,20220.0,Verified,Apr-2016,Late (31-120 days),credit_card,IL,8.49,720,724,3149.93,2886.44,0.0
1000901,5000,5000, 36 months,15.38%,174.26,C,C2,n/a,MORTGAGE,15000.0,Verified,Apr-2018,Charged Off,major_purchase,OH,15.7,690,694,2810.31,2248.25,272.45
1000902,12000,12000, 36 months,12.82%,403.29,B,B5,3 years,MORTGAGE,105832.0,Source Verified,May-2018,Fully Paid,credit_card,WA,18.62,660,664,14156.69,12000.0,0.0
1000903,30000,30000, 60 months,10.0%,637.41,B,B2,10+ years,RENT,48221.0,Source Verified,Sep-2018,Fully Paid,debt_consolidation,AZ,23.74,720,724,36853.43,30000.0,0.0
1000904,25000,25000, 60 months,9.87%,529.58,B,B1,2 years,MORTGAGE,89939.0,Source Verified,Oct-2016,Charged Off,vacation,NC,2.15,675,679,10551.09,8440.87,993.33
1000905,35000,35000, 60 months,13.96%,813.66,C,C4,n/a,RENT,53264.0,Verified,Sep-2016,Fully Paid,major_purchase,CA,4.7,660,664,47429.73,35000.0,0.0
1000906,25000,25000, 60 months,6.57%,489.97,A,A5,10+ years,OWN,50686.0,Source Verified,Mar-2018,Charged Off,small_business,MI,21.32,740,744,14970.61,11976.49,2290.76
1000907,35000,35000, 36 months,11.95%,1161.67,B,B5,1 year,MORTGAGE,47454.0,Not Verified,Mar-2016,Fully Paid,home_improvement,PA,6.52,760,764,41296.52,35000.0,0.0
1000908,15000,15000, 60 months,18.46%,384.66,D,D3,7 years,OWN,80303.0,Verified,Aug-2018,Charged Off,other,AZ,12.42,705,709,3556.72,2845.38,1433.07
1000909,35000,35000, 36 months,27.96%,1446.97,F,F2,< 1 year,OWN,36661.0,Not Verified,Dec-2017,Charged Off,other,NJ,16.42,675,679,18246.36,14597.09,2653.01
1000910,12000,12000, 36 months,10.25%,388.62,B,B4,< 1 year,RENT,50186.0,Verified,Nov-2016,Fully Paid,other,AZ,26.08,660,664,13860.75,12000.0,0.0
1000911,25000,25000, 36 months,10.77%,815.75,B,B5,10+ years,RENT,113750.0,Source Verified,Jan-2017,Charged Off,medical,NC,24.47,720,724,9737.7,7790.16,1293.76
1000912,12000,12000, 60 months,14.85%,284.54,C,C5,1 year,RENT,100066.0,Not Verified,Mar-2018,Charged Off,house,WA,18.52,780,784,1295.5,1036.4,283.65
1000913,35000,35000, 36 months,23.95%,1372.23,E,E3,5 years,RENT,15000.0,Verified,Feb-2018,Late (31-120 days),vacation,CA,23.94,720,724,10367.11,7345.07,0.0
1000914,35000,35000, 60 months,7.69%,704.49,A,A4,2 years,RENT,62799.0,Source Verified,Apr-2018,Current,home_improvement,NJ,15.66,705,709,7252.16,6004.95,0.0
1000915,30000,30000, 36 months,7.51%,933.32,A,A2,2 years,RENT,113829.0,Verified,Feb-2017,Charged Off,home_improvement,PA,26.42,780,784,7490.56,5992.44,2046.87
1000916,25000,25000, 60 months,12.04%,556.62,B,B4,2 years,RENT,85058.0,Source Verified,Jul-2016,Charged Off,credit_card,AZ,7.15,760,764,2634.42,2107.54,307.43
1000917,12000,12000, 60 months,6.94%,237.27,A,A1,n/a,MORTGAGE,83648.0,Not Verified,Apr-2017,Fully Paid,credit_card,CA,15.03,705,709,13829.81,12000.0,0.0
1000918,20000,20000, 36 months,5.73%,606.0,A,A1,< 1 year,MORTGAGE,63568.0,Not Verified,Oct-2018,Fully Paid,moving,GA,27.59,675,679,20874.21,20000.0,0.0
1000919,12000,12000, 60 months,29.69%,385.96,F,F4,7 years,OWN,61408.0,Source Verified,Oct-2017,Charged Off,car,OH,33.34,740,744,1951.96,1561.56,104.09
1000920,25000,25000, 60 months,27.98%,778.09,F,F4,7 years,RENT,65526.0,Verified,Nov-2017,Charged Off,vacation,AZ,31.25,740,744,5983.88,4787.1,1263.49
1000921,35000,35000, 36 months,18.77%,1278.89,D,D2,5 years,OWN,101362.0,Verified,Oct-2018,Charged Off,car,MA,9.85,760,764,5517.24,4413.79,1026.81
1000922,35000,35000, 60 months,16.04%,851.88,C,C4,7 years,RENT,92684.0,Not Verified,Jan-2016,Current,car,NY,24.96,740,744,10110.86,6923.51,0.0
1000923,25000,25000, 60 months,29.27%,797.66,G,G3,10+ years,OWN,104903.0,Not Verified,Aug-2018,Fully Paid,credit_card,WA,24.45,720,724,45997.62,25000.0,0.0
1000924,30000,30000, 36 months,11.22%,985.29,B,B4,3 years,OWN,85539.0,Verified,Jul-2017,Current,moving,NY,21.89,690,694,12015.08,10162.05,0.0
1000925,25000,25000, 60 months,7.44%,500.24,A,A1,n/a,RENT,112091.0,Source Verified,Dec-2018,Current,credit_card,MI,24.94,760,764,4310.72,3590.54,0.0
1000926,20000,20000, 36 months,19.24%,735.55,D,D2,1 year,MORTGAGE,139351.0,Not Verified,Jun-2016,Fully Paid,debt_consolidation,IL,16.59,780,784,25527.22,20000.0,0.0
1000927,25000,25000, 60 months,26.72%,759.2,F,F3,5 years,OWN,45249.0,Source Verified,Mar-2017,Current,other,FL,18.71,740,744,8579.79,4708.79,0.0
1000928,25000,25000, 60 months,19.04%,649.06,D,D5,3 years,OWN,117955.0,Not Verified,Oct-2017,Fully Paid,credit_card,VA,7.94,760,764,37558.17,25000.0,0.0
1000929,8000,8000, 60 months,11.08%,174.26,B,B4,5 years,RENT,28833.0,Source Verified,Mar-2017,Current,credit_card,FL,6.02,740,744,4723.57,3614.19,0.0
1000930,15000,15000, 36 months,7.7%,467.97,A,A5,7 years,RENT,15000.0,Source Verified,Aug-2016,Current,small_business,CA,14.78,675,679,4822.32,4293.65,0.0
1000931,30000,30000, 36 months,12.37%,1001.74,B,B5,7 years,MORTGAGE,87257.0,Not Verified,Apr-2018,Current,home_improvement,OH,24.04,690,694,14408.14,11985.92,0.0
1000932,5000,5000, 60 months,6.46%,97.74,A,A1,3 years,MORTGAGE,75884.0,Not Verified,Jul-2017,Fully Paid,vacation,NJ,31.03,705,709,5652.04,5000.0,0.0
1000933,8000,8000, 36 months,16.17%,281.93,C,C2,1 year,MORTGAGE,28506.0,Not Verified,Aug-2017,Charged Off,house,MI,11.46,690,694,2739.84,2191.87,573.33
1000934,30000,30000, 60 months,14.92%,712.44,C,C2,< 1 year,MORTGAGE,61466.0,Verified,Jan-2018,Fully Paid,major_purchase,OH,22.82,740,744,41145.35,30000.0,0.0
1000935,30000,30000, 36 months,19.21%,1102.87,D,D1,5 years,OWN,140830.0,Verified,Feb-2018,Current,debt_consolidation,AZ,8.2,690,694,14002.06,10580.02,0.0
1000936,12000,12000, 60 months,9.35%,251.14,B,B4,1 year,OWN,51468.0,Not Verified,Feb-2018,Current,medical,NC,19.54,660,664,7436.68,5922.34,0.0
1000937,5000,5000, 60 months,19.91%,132.22,D,D2,< 1 year,OWN,59158.0,Source Verified,Sep-2017,Fully Paid,vacation,IL,24.81,720,724,7796.59,5000.0,0.0
1000938,10000,10000, 60 months,12.73%,226.15,C,C4,3 years,RENT,15000.0,Not Verified,Oct-2016,Fully Paid,major_purchase,CA,9.52,740,744,13555.87,10000.0,0.0
1000939,12000,12000, 36 months,9.06%,381.93,B,B5,10+ years,MORTGAGE,15000.0,Not Verified,Oct-2016,Current,home_improvement,NY,25.58,760,764,3359.84,2932.33,0.0
1000940,25000,25000, 36 months,7.48%,777.43,A,A4,7 years,OWN,39902.0,Source Verified,Aug-2016,Late (31-120 days),home_improvement,AZ,9.78,675,679,5526.93,4936.97,0.0
1000941,5000,5000, 36 months,10.95%,163.58,B,B1,2 years,OWN,106582.0,Not Verified,Aug-2017,Fully Paid,small_business,TX,22.5,690,694,5603.61,5000.0,0.0
1000942,30000,30000, 60 months,19.03%,778.71,D,D4,7 years,RENT,67958.0,Verified,May-2018,Current,credit_card,TX,21.21,660,664,20984.16,13473.67,0.0
1000943,5000,5000, 36 months,6.72%,153.75,A,A5,5 years,OWN,23693.0,Not Verified,Jul-2018,Fully Paid,credit_card,IL,32.16,705,709,5482.94,5000.0,0.0
1000944,25000,25000, 60 months,10.73%,540.2,B,B4,7 years,RENT,95835.0,Not Verified,Jul-2016,Charged Off,moving,IL,12.98,675,679,4507.78,3606.23,768.0
1000945,15000,15000, 60 months,11.1%,326.88,B,B1,n/a,RENT,63359.0,Not Verified,Nov-2018,Charged Off,house,FL,30.21,675,679,2273.25,1818.6,10.32
